rank,gid,role,priority_score,why
1,100000002224132100,coordinator,0.6953237341950279,"Признаки координации: 5 вх./4 исх., betweenness=0.000 (топ по посредничеству среди узлов со смешанной активностью). Входит в короткий возвратный цикл переводов (≤4 шага)."
2,100000003684369100,coordinator,0.6524925695338842,"Признаки координации: 24 вх./62 исх., betweenness=0.002 (топ по посредничеству среди узлов со смешанной активностью). Входит в короткий возвратный цикл переводов (≤4 шага)."
3,100000003016635100,distributor,0.5971523724407948,Признаки распределения: 73 получателей против 8 входящих (выход в 9.1× больше входа). Входит в короткий возвратный цикл переводов (≤4 шага).
4,100000000331309100,distributor,0.5908290155806378,Признаки распределения: 99 получателей против 5 входящих (выход в 19.8× больше входа). Входит в короткий возвратный цикл переводов (≤4 шага).
5,100000008603629100,distributor,0.5793661590595529,Признаки распределения: 61 получателей против 19 входящих (выход в 3.2× больше входа). Входит в короткий возвратный цикл переводов (≤4 шага).
6,100000006866783100,distributor,0.5664528871645164,Признаки распределения: 67 получателей против 13 входящих (выход в 5.2× больше входа). Входит в короткий возвратный цикл переводов (≤4 шага).
7,100000008346837100,coordinator,0.5650169956557056,"Признаки координации: 9 вх./25 исх., betweenness=0.009 (топ по посредничеству среди узлов со смешанной активностью). Входит в короткий возвратный цикл переводов (≤4 шага)."
8,100000002527114100,distributor,0.5559577855061785,Признаки распределения: 111 получателей против 3 входящих (выход в 37.0× больше входа). Входит в короткий возвратный цикл переводов (≤4 шага).
9,100000002578405100,distributor,0.5504246329040726,Признаки распределения: 116 получателей против 2 входящих (выход в 58.0× больше входа). Входит в короткий возвратный цикл переводов (≤4 шага).
10,100000004221668100,coordinator,0.5465338504472589,"Признаки координации: 4 вх./3 исх., betweenness=0.000 (топ по посредничеству среди узлов со смешанной активностью). Входит в короткий возвратный цикл переводов (≤4 шага)."
11,100000002741024100,coordinator,0.5428265320675193,"Признаки координации: 5 вх./6 исх., betweenness=0.000 (топ по посредничеству среди узлов со смешанной активностью). Входит в короткий возвратный цикл переводов (≤4 шага)."
12,100000004015047100,consolidator,0.531214907127381,"Признаки консолидации: получает от 9 плательщиков, отдаёт 1 (вход в 9.0× больше выхода). Входит в короткий возвратный цикл переводов (≤4 шага)."
13,100000005382566100,consolidator,0.5198138814858276,"Признаки консолидации: получает от 7 плательщиков, отдаёт 1 (вход в 7.0× больше выхода). Входит в короткий возвратный цикл переводов (≤4 шага)."
14,100000004400305100,distributor,0.5192034393860729,Признаки распределения: 82 получателей против 7 входящих (выход в 11.7× больше входа). Входит в короткий возвратный цикл переводов (≤4 шага).
15,100000001616816100,coordinator,0.5165445964764009,"Признаки координации: 5 вх./3 исх., betweenness=0.000 (топ по посредничеству среди узлов со смешанной активностью). Входит в короткий возвратный цикл переводов (≤4 шага)."
16,100000002838861100,consolidator,0.5164570674498573,"Признаки консолидации: получает от 5 плательщиков, отдаёт 1 (вход в 5.0× больше выхода). Входит в короткий возвратный цикл переводов (≤4 шага)."
17,100000000661912100,consolidator,0.5142345090629413,"Признаки консолидации: получает от 5 плательщиков, отдаёт 2 (вход в 2.5× больше выхода). Входит в короткий возвратный цикл переводов (≤4 шага)."
18,100000008659445100,coordinator,0.5131518764031755,"Признаки координации: 3 вх./4 исх., betweenness=0.000 (топ по посредничеству среди узлов со смешанной активностью). Входит в короткий возвратный цикл переводов (≤4 шага)."
19,100000008736940100,coordinator,0.5109720545279557,"Признаки координации: 3 вх./3 исх., betweenness=0.000 (топ по посредничеству среди узлов со смешанной активностью). Входит в короткий возвратный цикл переводов (≤4 шага)."
20,100000002398779100,consolidator,0.5039532221585397,"Признаки консолидации: получает от 13 плательщиков, отдаёт 1 (вход в 13.0× больше выхода)."
21,100000003115284100,consolidator,0.4948584555798236,"Признаки консолидации: получает от 8 плательщиков, отдаёт 2 (вход в 4.0× больше выхода). Входит в короткий возвратный цикл переводов (≤4 шага)."
22,100000004071080100,consolidator,0.4874562960666399,"Признаки консолидации: получает от 9 плательщиков, отдаёт 2 (вход в 4.5× больше выхода). Входит в короткий возвратный цикл переводов (≤4 шага)."
23,100000004299488100,consolidator,0.486948933177697,"Признаки консолидации: получает от 6 плательщиков, отдаёт 2 (вход в 3.0× больше выхода). Входит в короткий возвратный цикл переводов (≤4 шага)."
24,100000008546855100,consolidator,0.4856141477099275,"Признаки консолидации: получает от 6 плательщиков, отдаёт 2 (вход в 3.0× больше выхода). Входит в короткий возвратный цикл переводов (≤4 шага)."
25,100000004759121100,consolidator,0.48522689272449726,"Признаки консолидации: получает от 6 плательщиков, отдаёт 2 (вход в 3.0× больше выхода). Входит в короткий возвратный цикл переводов (≤4 шага)."
26,100000008477350100,distributor,0.4845218222784004,Признаки распределения: 39 получателей против 11 входящих (выход в 3.5× больше входа). Входит в короткий возвратный цикл переводов (≤4 шага).
27,100000005339662100,coordinator,0.4780101194720492,"Признаки координации: 4 вх./4 исх., betweenness=0.000 (топ по посредничеству среди узлов со смешанной активностью). Входит в короткий возвратный цикл переводов (≤4 шага)."
28,100000005933757100,distributor,0.4776855178831609,Признаки распределения: 34 получателей против 4 входящих (выход в 8.5× больше входа). Входит в короткий возвратный цикл переводов (≤4 шага).
29,100000003701161100,coordinator,0.4767356029394978,"Признаки координации: 4 вх./3 исх., betweenness=0.000 (топ по посредничеству среди узлов со смешанной активностью). Входит в короткий возвратный цикл переводов (≤4 шага)."
30,100000003509750100,coordinator,0.47460398391964,"Признаки координации: 3 вх./3 исх., betweenness=0.000 (топ по посредничеству среди узлов со смешанной активностью). Входит в короткий возвратный цикл переводов (≤4 шага)."
