removed_top_k,removed_gids,largest_component_size,largest_component_pct,n_components
0,,1877,83.5,35
5,"[100000002224132100, 100000003684369100, 100000003016635100, 100000000331309100, 100000008603629100]",1598,71.1,197
10,"[100000002224132100, 100000003684369100, 100000003016635100, 100000000331309100, 100000008603629100, 100000006866783100, 100000008346837100, 100000002527114100, 100000002578405100, 100000004221668100]",1530,68.1,456
20,"[100000002224132100, 100000003684369100, 100000003016635100, 100000000331309100, 100000008603629100, 100000006866783100, 100000008346837100, 100000002527114100, 100000002578405100, 100000004221668100, 100000002741024100, 100000004015047100, 100000005382566100, 100000004400305100, 100000001616816100, 100000002838861100, 100000000661912100, 100000008659445100, 100000008736940100, 100000002398779100]",1440,64.1,509
30,"[100000002224132100, 100000003684369100, 100000003016635100, 100000000331309100, 100000008603629100, 100000006866783100, 100000008346837100, 100000002527114100, 100000002578405100, 100000004221668100, 100000002741024100, 100000004015047100, 100000005382566100, 100000004400305100, 100000001616816100, 100000002838861100, 100000000661912100, 100000008659445100, 100000008736940100, 100000002398779100, 100000003115284100, 100000004071080100, 100000004299488100, 100000008546855100, 100000004759121100, 100000008477350100, 100000005339662100, 100000005933757100, 100000003701161100, 100000003509750100]",1327,59.0,567
50,"[100000002224132100, 100000003684369100, 100000003016635100, 100000000331309100, 100000008603629100, 100000006866783100, 100000008346837100, 100000002527114100, 100000002578405100, 100000004221668100, 100000002741024100, 100000004015047100, 100000005382566100, 100000004400305100, 100000001616816100, 100000002838861100, 100000000661912100, 100000008659445100, 100000008736940100, 100000002398779100, 100000003115284100, 100000004071080100, 100000004299488100, 100000008546855100, 100000004759121100, 100000008477350100, 100000005339662100, 100000005933757100, 100000003701161100, 100000003509750100, 100000007055802100, 100000000437046100, 100000001857829100, 100000004403675100, 100000000076451100, 100000002957787100, 100000008144528100, 100000000332284100, 100000004486525100, 100000007382543100, 100000003741418100, 100000005074393100, 100000001899164100, 100000003635170100, 100000006069103100, 100000008686313100, 100000007639767100, 100000004962193100, 100000001526235100, 100000008111003100]",1164,51.8,658
81,"[100000002224132100, 100000003684369100, 100000003016635100, 100000000331309100, 100000008603629100, 100000006866783100, 100000008346837100, 100000002527114100, 100000002578405100, 100000004221668100, 100000002741024100, 100000004015047100, 100000005382566100, 100000004400305100, 100000001616816100, 100000002838861100, 100000000661912100, 100000008659445100, 100000008736940100, 100000002398779100, 100000003115284100, 100000004071080100, 100000004299488100, 100000008546855100, 100000004759121100, 100000008477350100, 100000005339662100, 100000005933757100, 100000003701161100, 100000003509750100, 100000007055802100, 100000000437046100, 100000001857829100, 100000004403675100, 100000000076451100, 100000002957787100, 100000008144528100, 100000000332284100, 100000004486525100, 100000007382543100, 100000003741418100, 100000005074393100, 100000001899164100, 100000003635170100, 100000006069103100, 100000008686313100, 100000007639767100, 100000004962193100, 100000001526235100, 100000008111003100, 100000002718366100, 100000005910114100, 100000008104567100, 100000002175422100, 100000007442518100, 100000004156082100, 100000005704413100, 100000005782781100, 100000002547110100, 100000004159526100, 100000004076740100, 100000004180097100, 100000003249054100, 100000007998965100, 100000000343175100, 100000001303311100, 100000007594394100, 100000008637537100, 100000008244300100, 100000003747133100, 100000008560717100, 100000001282143100, 100000005830339100, 100000005665181100, 100000008733194100, 100000001253557100, 100000008489922100, 100000008389800100, 100000005519998100, 100000004007116100, 100000008512552100]",916,40.7,805
